state,T_K,x,omega_rad_s,omega_1e12_rad_s_paper_frequency_axis,frequency_THz_cycles_s,dkappa_dx_W_mK,spectral_kappa_pW_s_mK,total_rate_s-1,phonon_phonon_rate_s-1,boundary_rate_s-1,point_defect_rate_s-1,precipitate_small_rate_s-1,precipitate_big_rate_s-1,dislocation_core_rate_s-1,dislocation_strain_rate_s-1
48h,303.94,0.05201684543,2.06985056287e+12,2.06985056287,0.329426948542,0.973119932338,0.0244552094791,69213203269.9,11096075938.3,146280991.736,32172649.8262,417.486665782,254056593.45,106834172.664,57577782506.4
48h,303.94,0.0525761663486,2.09210702053e+12,2.09210702053,0.332969173795,0.981897912231,0.0246758064784,70077189210.6,11335984158.9,146280991.736,33578899.0023,435.727633259,254128652.145,110317625.716,58196898447.4
48h,303.94,0.0531354872672,2.1143634782e+12,2.1143634782,0.336511399048,0.990643907776,0.0248955996879,70943857833.9,11578458242.9,146280991.736,35030751.8891,454.559514967,254197015.61,113875988.88,58816014388.3
48h,303.94,0.0536948081858,2.13661993586e+12,2.13661993586,0.340053624301,0.999358062623,0.0251145927176,71813211136,11823498190.2,146280991.736,36529183.9212,473.994902452,254261907.834,117510059.073,59435130329.2
48h,303.94,0.0542541291044,2.15887639353e+12,2.15887639353,0.343595849554,1.00804051966,0.0253327891584,72685251108,12071104000.8,146280991.736,38075180.8551,494.046517428,254323537.218,121220633.211,60054246270.1
48h,303.94,0.054813450023,2.18113285119e+12,2.18113285119,0.347138074807,1.01669142102,0.025550192582,73559979737.1,12321275674.8,146280991.736,39669738.7692,514.727211614,254382097.799,125008508.21,60673362211.1
48h,303.94,0.0553727709416,2.20338930886e+12,2.20338930886,0.35068030006,1.02531090803,0.0257668065403,74437399007.2,12574013212,146280991.736,41313864.0643,536.049966567,254437770.356,128874480.985,61292478152
48h,303.94,0.0559320918602,2.22564576652e+12,2.22564576652,0.354222525314,1.03389912125,0.0259826345655,75317510900.7,12829316612.6,146280991.736,43008573.4629,558.027893508,254490723.434,132819348.454,61911594092.9
48h,303.94,0.0564914127788,2.24790222419e+12,2.24790222419,0.357764750567,1.04245620041,0.0261976801694,76200317398.6,13087185876.5,146280991.736,44754894.0099,580.674233145,254541114.272,136843907.531,62530710033.9
48h,303.94,0.0570507336974,2.27015868185e+12,2.27015868185,0.36130697582,1.05098228448,0.0264119468439,77085820482.2,13347621003.8,146280991.736,46553863.072,604.002355485,254589089.655,140948955.134,63149825974.8
48h,303.94,0.057610054616,2.29241513952e+12,2.29241513952,0.364849201073,1.05947751157,0.0266254380605,77974022133,13610621994.3,146280991.736,48406528.3381,628.025759645,254634786.699,145135288.178,63768941915.7
48h,303.94,0.0581693755346,2.31467159718e+12,2.31467159718,0.368391426326,1.06794201903,0.0268381572702,78864924334.3,13876188848.2,146280991.736,50313947.819,652.758073661,254678333.565,149403703.579,64388057856.6
48h,303.94,0.0587286964532,2.33692805485e+12,2.33692805485,0.371933651579,1.07637594334,0.0270501079033,79758529071.2,14144321565.4,146280991.736,52277189.8478,678.21305428,254719850.119,153754998.254,65007173797.6
48h,303.94,0.0592880173718,2.35918451251e+12,2.35918451251,0.375475876832,1.08477942019,0.0272612933698,80654838331.3,14415020146,146280991.736,54297333.0794,704.404586759,254759448.535,158189969.118,65626289738.5
48h,303.94,0.0598473382905,2.38144097018e+12,2.38144097018,0.379018102086,1.09315258446,0.0274717170588,81553854105.7,14688284589.8,146280991.736,56375466.491,731.346684647,254797233.852,162709413.088,66245405679.4
48h,303.94,0.0604066592091,2.40369742784e+12,2.40369742784,0.382560327339,1.10149557017,0.0276813823391,82455578389.1,14964114897,146280991.736,58512689.3817,759.053489569,254833304.487,167314127.079,66864521620.4
48h,303.94,0.0609659801277,2.42595388551e+12,2.42595388551,0.386102552592,1.10980851056,0.0278902925585,83360013180.1,15242511067.5,146280991.736,60710111.3726,787.539271,254867752.704,172004908.009,67483637561.3
48h,303.94,0.0615253010463,2.44821034317e+12,2.44821034317,0.389644777845,1.11809153802,0.0280984510443,84267160482.3,15523473101.3,146280991.736,62968852.4071,816.818426029,254900665.046,176782552.792,68102753502.2
48h,303.94,0.0620846219649,2.47046680084e+12,2.47046680084,0.393187003098,1.12634478413,0.0283058611032,85177022304,15807000998.4,146280991.736,65290042.7504,846.905479129,254932122.737,181647858.345,68721869443.1
48h,303.94,0.0626439428835,2.49272325851e+12,2.49272325851,0.396729228351,1.13456837965,0.0285125260214,86089600659.1,16093094758.9,146280991.736,67674822.9899,877.815081904,254962202.051,186601621.584,69340985384.1
48h,303.94,0.0632032638021,2.51497971617e+12,2.51497971617,0.400271453604,1.14276245453,0.0287184490643,87004897567.1,16381754382.7,146280991.736,70124344.035,909.562012843,254990974.653,191644639.426,69960101325
48h,303.94,0.0637625847207,2.53723617384e+12,2.53723617384,0.403813678858,1.15092713789,0.0289236334773,87922915053.4,16672979869.8,146280991.736,72639767.1173,942.161177058,255018507.91,196777708.785,70579217265.9
48h,303.94,0.0643219056393,2.5594926315e+12,2.5594926315,0.407355904111,1.15906255806,0.0291280824848,88843655150,16966771220.2,146280991.736,75222263.7902,975.627606023,255044865.184,202001626.579,71198333206.9
48h,303.94,0.0648812265579,2.58174908917e+12,2.58174908917,0.410898129364,1.16716884254,0.0293317992914,89767119895.2,17263128434,146280991.736,77873015.9294,1009.9764573,255070106.103,207317189.724,71817449147.8
