member_id,host_id,host_family,host_status,background_model,AQ_case_id,age_h,temperature_K,ensemble_mean_kappa_upper_W_mK,replicate_min_W_mK,replicate_max_W_mK,experiment_W_mK,endpoint_gate_pass
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,central__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,1.0856623764971591,1.0856611412866035,1.0856632831235467,0.85,True
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,central__single_APT_37to6_large_Lover2_sphere_bound,48.0,573.15,1.084858799983645,1.083945548234415,1.0855887566326619,1.03,True
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,1.324466544127139,1.3244654314561004,1.324467360811188,0.85,True
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__single_APT_37to6_large_Lover2_sphere_bound,48.0,573.15,1.3237424001852889,1.3229192752409005,1.3244002263636627,1.03,True
H-P2_PBTE_303K_100__upper_1sigma__zero_particle_scattering_limit__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,upper_1sigma__zero_particle_scattering_limit,6.0,573.15,0.8777501483804939,0.8777492177650241,0.8777508314385803,0.85,True
H-P2_PBTE_303K_100__upper_1sigma__zero_particle_scattering_limit__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,upper_1sigma__zero_particle_scattering_limit,48.0,573.15,0.8771447581747848,0.8764567570516646,0.8776946828502324,1.03,False
H-P2_PBTE_303K_100__upper_1sigma__all_small_at_reported_max__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,upper_1sigma__all_small_at_reported_max,6.0,573.15,0.8793916155723928,0.8793906827884528,0.8793923002221046,0.85,True
H-P2_PBTE_303K_100__upper_1sigma__all_small_at_reported_max__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,upper_1sigma__all_small_at_reported_max,48.0,573.15,0.8787848144286504,0.8780952096834407,0.8793360207979163,1.03,False
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_prolate_AR10__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,upper_1sigma__single_APT_37to6_prolate_AR10,6.0,573.15,0.8828846592397945,0.882883721830673,0.8828853472843212,0.85,True
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_prolate_AR10__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,upper_1sigma__single_APT_37to6_prolate_AR10,48.0,573.15,0.882274848667446,0.8815818235095374,0.8828287887972737,1.03,False
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_prolate_AR5__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,upper_1sigma__single_APT_37to6_prolate_AR5,6.0,573.15,0.896043855312674,0.8960429003464743,0.896044556243837,0.85,True
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_prolate_AR5__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,upper_1sigma__single_APT_37to6_prolate_AR5,48.0,573.15,0.8954226209575791,0.8947166118899766,0.8959869384405267,1.03,False
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_prolate_AR2__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,upper_1sigma__single_APT_37to6_prolate_AR2,6.0,573.15,0.9810688934497817,0.9810678195186386,0.9810696816994577,0.85,True
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_prolate_AR2__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,upper_1sigma__single_APT_37to6_prolate_AR2,48.0,573.15,0.9803702518363857,0.979576263680874,0.9810048860744023,1.03,False
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR2,6.0,573.15,1.1539596339739757,1.153958779085567,1.1539602614493867,0.85,True
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR2,48.0,573.15,1.1534032404926327,1.1527707858163632,1.1539086805601404,1.03,True
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,1.1615209298421223,1.1615195661054385,1.1615219308047977,0.85,True
