CV,R6_nm,R48_nm,fixed_effective_h_volume_nm3,N6_effective,N48_effective,N6_spherical_crosscheck,N48_spherical_crosscheck,Sv6_nm_inv,Sv48_nm_inv,M6_6h_nm3,M6_48h_nm3,kappa_6h_W_mK,kappa_48h_W_mK,delta_kappa_W_mK,relative_change_percent,objective_J,kappa6_within_5pct,kappa48_within_5pct,positive_trend,integration
0.3,14.25,16.5,356237.61016735336,22.694837241254668,14.619072937431048,29.39047237770478,18.93212340708838,0.004240214646508342,0.0036620035583481135,46.495230638591,72.17979528206986,1.2962104233690412,1.2961111528053424,-9.927056369885001e-05,-0.007658522251412794,0.3423261799804223,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.25,17.5,356237.61016735336,22.694837241254668,12.25342563620896,29.39047237770478,15.868541548234054,0.004240214646508342,0.0034527462121567917,46.495230638591,86.1148321428819,1.2962104233690412,1.2961171385390609,-9.3284829980389e-05,-0.00719673505926052,0.34232918288062913,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.25,16.0,356237.61016735336,22.694837241254668,16.03288647926207,29.39047237770478,20.763052944352268,0.004240214646508342,0.003776441169546492,46.495230638591,65.81482961301349,1.2962104233690412,1.296118480119507,-9.194324953432087e-05,-0.0070932348542103885,0.3423298559288888,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.5,19.0,356237.61016735336,21.541089185799308,9.574384461154319,27.896335187196488,12.399105534344203,0.004167107497430611,0.003180160984881257,48.985530988518875,110.21091706925273,1.2961901278083459,1.2961695733537641,-2.0554454581711568e-05,-0.0015857592293551815,0.34233042287402543,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.25,18.0,356237.61016735336,22.694837241254668,11.260408610949495,29.39047237770478,14.582555703029302,0.004240214646508342,0.0033568365951524375,46.495230638591,93.70900544509136,1.2962104233690412,1.2961293092569912,-8.111411205002916e-05,-0.006257788904304725,0.3423352888485673,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,15.0,20.5,356237.61016735336,19.457986079720715,7.622722017272809,25.198656254834635,9.871646071306786,0.004028203914182925,0.0029474662786704332,54.22974852146498,138.4284628832551,1.2961571604374513,1.2962638126635533,0.00010665222610195535,0.008228340617734994,0.3423370012811152,False,False,True,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.25,15.5,356237.61016735336,22.694837241254668,17.635044951577978,29.39047237770478,22.837894628597063,0.004240214646508342,0.003898261852435089,46.495230638591,59.83549771122082,1.2962104233690412,1.2961335631687185,-7.686020032271479e-05,-0.005929608259355286,0.34233742307354137,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.75,20.0,356237.61016735336,20.464239251431135,8.20883787738218,26.501783293541603,10.63068310750836,0.004096478556796195,0.0030211529356371945,51.563201488842395,128.54458908791688,1.2961724151337597,1.2962283554150134,5.594028125366357e-05,0.004315805567262497,0.3423380448421095,False,False,True,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.5,19.5,356237.61016735336,21.541089185799308,8.856616331233834,27.896335187196488,11.469574990821409,0.004167107497430611,0.003098618395525328,48.985530988518875,119.14275750165844,1.2961901278083459,1.2961968336099206,6.70580157469125e-06,0.000517347064356192,0.3423441022449585,False,False,True,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.25,18.5,356237.61016735336,22.694837241254668,10.371856043125968,29.39047237770478,13.431854359673368,0.004240214646508342,0.0032661112817699393,46.495230638591,101.73701673547272,1.2962104233690412,1.296146933364145,-6.349000489613843e-05,-0.004898124853148348,0.3423441312404378,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.25,15.0,356237.61016735336,22.694837241254668,19.457986079720715,29.39047237770478,25.198656254834635,0.004240214646508342,0.004028203914182925,46.495230638591,54.22974852146498,1.2962104233690412,1.2961571604374513,-5.3262931589914686e-05,-0.004109126931063902,0.34234926265055043,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.0,17.0,356237.61016735336,23.93247194572065,13.366721558936986,30.99324521139464,17.310292053748604,0.004315932765195992,0.0035542975713378747,44.09079405715549,78.942445773617,1.2962334350574267,1.296110906446924,-0.00012252861050265906,-0.009452665483607951,0.34235448080489755,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
