case,gp_L_eta,step,eta_max,eta_integral,V_h_nm3,R_eff_h_nm,xB_min,xB_max,max_abs_delta_eta_vs_prev_sample,eta_rhs_chem_interface_mean,eta_rhs_elastic_interface_mean,eta_rhs_grad_interface_mean,eta_rhs_net_interface_mean,eta_evolution_drive_interface_mean,gp_minus_delta_mu_r_mean,gp_minus_delta_mu_r_min,gp_minus_delta_mu_r_max,xB_clip_count_high,xB_clip_count_low,gp_closure_error,dt_divJ_min,dt_divJ_max
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2250,0.0,0.0,0.0,0.0,0.03701,0.04366,0.0,nan,nan,nan,nan,nan,0.062276798397,-0.43252979682,167.88213176,0,0,-2.7124534141e-10,-4.7031372761e-05,6.0863685306e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2250,0.3598,4.028613980000002,0.20684517455937196,0.3668756838971482,0.03701,0.04366,2.68944,0.12282360762436076,0.0,0.0,0.12282066248256626,-0.12282066248256626,0.062276798397,-0.43252979682,167.88213176,0,0,-2.7124534141e-10,-4.7031372761e-05,6.0863685306e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2250,1.0,66.88930855999999,35.105718468586566,2.0312486302242787,0.03701,0.04366,3.6657699999999998,0.010521904027971032,0.0,0.0,0.010519859859431305,-0.010519859859431305,0.062276798397,-0.43252979682,167.88213176,0,0,-2.7124534141e-10,-4.7031372761e-05,6.0863685306e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2250,0.3598,4.028969369999999,0.20686256623625987,0.36688596599106454,0.03701,0.04366,3.6657699999999998,0.12282360762436076,0.0,0.0,0.12282066248256626,-0.12282066248256626,0.062276798397,-0.43252979682,167.88213176,0,0,-2.7124534141e-10,-4.7031372761e-05,6.0863685306e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2250,-0.0,0.0,0.0,0.0,0.03701,0.04366,2.68944,nan,nan,nan,nan,nan,0.062276798397,-0.43252979682,167.88213176,0,0,-2.7124534141e-10,-4.7031372761e-05,6.0863685306e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2250,0.3598,4.028613980000002,0.20684517455937196,0.3668756838971482,0.03701,0.04366,2.68944,0.12282360762436076,0.0,0.0,0.12282066248256626,-0.12282066248256626,0.062276798397,-0.43252979682,167.88213176,0,0,-2.7124534141e-10,-4.7031372761e-05,6.0863685306e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2250,0.0,0.0,0.0,0.0,0.03701,0.04366,2.68944,nan,nan,nan,nan,nan,0.062276798397,-0.43252979682,167.88213176,0,0,-2.7124534141e-10,-4.7031372761e-05,6.0863685306e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2500,0.33946,3.9714854800000006,0.21029187242266587,0.3689022404937266,0.03701,0.04366,2.63492,0.1222765842894969,0.0,0.0,0.1222736451897617,-0.1222736451897617,0.058196142617,-0.43940462871,167.93542268,0,0,1.6593074266e-11,-4.7505234455e-05,5.6799298995e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2500,0.33946,3.9714854800000006,0.21029187242266587,0.3689022404937266,0.03701,0.04366,0.0,0.1222765842894969,0.0,0.0,0.1222736451897617,-0.1222736451897617,0.058196142617,-0.43940462871,167.93542268,0,0,1.6593074266e-11,-4.7505234455e-05,5.6799298995e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2500,1.0,66.19989358000005,35.105954139884695,2.0312531755989465,0.03701,0.04366,3.6115000000000004,0.010556229321330452,0.0,0.0,0.010554201131115916,-0.010554201131115916,0.058196142617,-0.43940462871,167.93542268,0,0,1.6593074266e-11,-4.7505234455e-05,5.6799298995e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2500,0.0,0.0,0.0,0.0,0.03701,0.04366,1.0,nan,nan,nan,nan,nan,0.058196142617,-0.43940462871,167.93542268,0,0,1.6593074266e-11,-4.7505234455e-05,5.6799298995e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2500,0.0,0.0,0.0,0.0,0.03701,0.04366,0.0,nan,nan,nan,nan,nan,0.058196142617,-0.43940462871,167.93542268,0,0,1.6593074266e-11,-4.7505234455e-05,5.6799298995e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2500,0.33946,3.971826520000001,0.21030876580861166,0.3689121185756861,0.03701,0.04366,2.63492,0.1222765842894969,0.0,0.0,0.1222736451897617,-0.1222736451897617,0.058196142617,-0.43940462871,167.93542268,0,0,1.6593074266e-11,-4.7505234455e-05,5.6799298995e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2500,-0.0,0.0,0.0,0.0,0.03701,0.04366,2.63492,nan,nan,nan,nan,nan,0.058196142617,-0.43940462871,167.93542268,0,0,1.6593074266e-11,-4.7505234455e-05,5.6799298995e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2750,-0.0,0.0,0.0,0.0,0.03701,0.04366,0.0,nan,nan,nan,nan,nan,0.054245299103,-0.44222264719,167.83608086,0,0,-3.5980923005e-12,-4.6876708284e-05,5.3985437092e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2750,0.0,0.0,0.0,0.0,0.03701,0.04366,0.0,nan,nan,nan,nan,nan,0.054245299103,-0.44222264719,167.83608086,0,0,-3.5980923005e-12,-4.6876708284e-05,5.3985437092e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2750,1.0,65.54662899000003,35.106168104975765,2.0312573023100073,0.03701,0.04366,1.0,0.010591498428614187,0.0,0.0,0.010589482116132894,-0.010589482116132894,0.054245299103,-0.44222264719,167.83608086,0,0,-3.5980923005e-12,-4.6876708284e-05,5.3985437092e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2750,0.33216,3.904027970000003,0.21287271516518216,0.3704052470061967,0.03701,0.04366,3.5260800000000003,0.12155928932939689,0.0,0.0,0.12155635807676086,-0.12155635807676086,0.054245299103,-0.44222264719,167.83608086,0,0,-3.5980923005e-12,-4.6876708284e-05,5.3985437092e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2750,0.0,0.0,0.0,0.0,0.03701,0.04366,2.54911,nan,nan,nan,nan,nan,0.054245299103,-0.44222264719,167.83608086,0,0,-3.5980923005e-12,-4.6876708284e-05,5.3985437092e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2750,0.33216,3.904027970000003,0.21287271516518216,0.3704052470061967,0.03701,0.04366,2.54911,0.12155928932939689,0.0,0.0,0.12155635807676086,-0.12155635807676086,0.054245299103,-0.44222264719,167.83608086,0,0,-3.5980923005e-12,-4.6876708284e-05,5.3985437092e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2750,0.33216,3.9043658200000007,0.21289021469492375,0.37041539663954426,0.03701,0.04366,1.0000000000010001e-05,0.12155928932939689,0.0,0.0,0.12155635807676086,-0.12155635807676086,0.054245299103,-0.44222264719,167.83608086,0,0,-3.5980923005e-12,-4.6876708284e-05,5.3985437092e-05
