xB,mu_A_raw,mu_B_raw,mu_GP0_raw,minus_Delta_mu_r_GP_raw,mu_B_minus_mu_A_raw
0.10613613613613612,-152948.838915947,-143794.9513602755,-150351.39498393127,606.4167124693049,9153.887555671507
0.10662662662662663,-152948.74908031605,-143795.70594852683,-150351.39498393127,606.2109997414518,9153.043131789222
0.1071171171171171,-152948.64672417534,-143796.5612955714,-150351.39498393127,605.9781597673136,9152.085428603954
0.10760760760760761,-152948.53184932386,-143797.5163514019,-150351.39498393127,605.718558880093,9151.015497921966
0.10809809809809809,-152948.4044575636,-143798.5700803365,-150351.39498393127,605.4325583971513,9149.83437722709
0.10858858858858858,-152948.2645506994,-143799.72146075984,-150351.39498393127,605.1205147107248,9148.543089939543
0.10907907907907907,-152948.11213053923,-143800.96948486916,-150351.39498393127,604.7827793765464,9147.142645670072
0.10956956956956956,-152947.94719889396,-143802.3131584265,-150351.39498393127,604.4196992009238,9145.63404046747
0.11006006006006006,-152947.76975757754,-143803.75150051634,-150351.39498393127,604.0316163251409,9144.018257061194
0.11055055055055055,-152947.57980840676,-143805.28354330873,-150351.39498393127,603.6188683088112,9142.296265098033
0.11104104104104104,-152947.37735320156,-143806.90833182738,-150351.39498393127,603.1817882106698,9140.469021374185
0.11153153153153152,-152947.16239378488,-143808.62492372323,-150351.39498393127,602.7207046679687,9138.537470061652
0.11202202202202202,-152946.93493198257,-143810.43238905276,-150351.39498393127,602.235941974126,9136.502542929811
0.1125125125125125,-152946.69496962367,-143812.32981006103,-150351.39498393127,601.7278201545123,9134.365159562643
0.11300300300300299,-152946.44250854012,-143814.3162809699,-150351.39498393127,601.1966550407233,9132.126227570203
0.11349349349349348,-152946.1775505669,-143816.3909077703,-150351.39498393127,600.6427583431941,9129.786642796593
0.11398398398398397,-152945.90009754218,-143818.5528080193,-150351.39498393127,600.0664377220965,9127.347289522877
0.11447447447447448,-152945.61015130705,-143820.80111064142,-150351.39498393127,599.4679968571872,9124.809040665627
0.11496496496496496,-152945.30771370567,-143823.1349557343,-150351.39498393127,598.8477355155628,9122.172757971362
0.11545545545545545,-152944.99278658532,-143825.5534943783,-150351.39498393127,598.2059496183938,9119.439292207011
0.11594594594594594,-152944.66537179632,-143828.05588845036,-150351.39498393127,597.5429313060304,9116.609483345965
0.11643643643643643,-152944.32547119207,-143830.6413104417,-150351.39498393127,596.8589690018271,9113.684160750388
0.11692692692692691,-152943.97308662912,-143833.30894327923,-150351.39498393127,596.1543474746286,9110.664143349888
0.11741741741741742,-152943.608219967,-143836.05798015097,-150351.39498393127,595.429347899888,9107.550239816017
0.1179079079079079,-152943.23087306845,-143838.88762433483,-150351.39498393127,594.6842479195911,9104.34324873361
0.11839839839839839,-152942.8410477992,-143841.79708903108,-150351.39498393127,593.9193217009306,9101.043958768103
0.11888888888888889,-152942.4387460282,-143844.7855971983,-150351.39498393127,593.1348399935232,9097.653148829908
0.11937937937937937,-152942.0239696275,-143847.85238139267,-150351.39498393127,592.3310701859591,9094.171588234836
0.11986986986986986,-152941.5967204723,-143850.99668361057,-150351.39498393127,591.5082763605751,9090.600036861724
0.12036036036036035,-152941.1570004408,-143854.21775513433,-150351.39498393127,590.6667193477042,9086.93924530648
0.12085085085085084,-152940.70481141456,-143857.5148563812,-150351.39498393127,589.8066567783826,9083.189955033362
0.12134134134134134,-152940.24015527806,-143860.88725675538,-150351.39498393127,588.9283431361546,9079.352898522688
0.12183183183183183,-152939.76303391918,-143864.33423450298,-150351.39498393127,588.0320298077422,9075.4287994162
0.1223223223223223,-152939.27344922876,-143867.85507656986,-150351.39498393127,587.1179651331331,9071.418372658896
0.12281281281281281,-152938.77140310087,-143871.4490784624,-150351.39498393127,586.1863944538636,9067.322324638459
0.1233033033033033,-152938.2568974328,-143875.11554411118,-150351.39498393127,585.2375601610402,9063.141353321611
0.12379379379379378,-152937.72993412503,-143878.85378573686,-150351.39498393127,584.27170174208,9058.876148388168
0.12428428428428429,-152937.19051508117,-143882.6631237194,-150351.39498393127,583.2890558267245,9054.527391361771
0.12477477477477476,-152936.638642208,-143886.54288646928,-150351.39498393127,582.2898562318296,9050.09575573873
0.12526526526526527,-152936.0743174157,-143890.49241030158,-150351.39498393127,581.2743340054876,9045.58190711413
0.12575575575575576,-152935.49754261746,-143894.51103931243,-150351.39498393127,580.2427174705663,9040.98650330503
0.12624624624624625,-152934.9083197298,-143898.5981252577,-150351.39498393127,579.1952322667057,9036.310194472084
0.12673673673673674,-152934.3066506724,-143902.7530274344,-150351.39498393127,578.1321013921697,9031.553623237996
0.12722722722722724,-152933.6925373682,-143906.97511256402,-150351.39498393127,577.0535452445329,9026.71742480417
0.12771771771771773,-152933.0659817434,-143911.26375467834,-150351.39498393127,575.9597816606401,9021.802227065054
0.12820820820820822,-152932.42698572748,-143915.61833500728,-150351.39498393127,574.851025955868,9016.808650720195
0.1286986986986987,-152931.7755512531,-143920.03824186893,-150351.39498393127,573.7274909626285,9011.73730938416
0.12918918918918917,-152931.1116802562,-143924.5228705619,-150351.39498393127,572.5893870680593,9006.588809694309
0.1296796796796797,-152930.43537467605,-143929.0716232592,-150351.39498393127,571.4369222511305,9001.363751416851
0.13017017017017016,-152929.74663645518,-143933.68390890467,-150351.39498393127,570.2703021187626,8996.06272755051
