step,registered_age_h,age_h,radius_bin_left_nm,radius_bin_right_nm,radius_bin_center_nm,count,number_fraction,n_of_R_nm^-4,M6_bin_contribution_nm^3
61761,23,23.000162948626667,18.0,20.0,19.0,6,0.3333333333333333,2.0151896938362603e-07,17.760483614655914
61761,23,23.000162948626667,20.0,22.0,21.0,2,0.1111111111111111,6.717298979454201e-08,10.49682167369801
61761,23,23.000162948626667,22.0,24.0,23.0,0,0.0,0.0,0.0
61761,23,23.000162948626667,24.0,26.0,25.0,0,0.0,0.0,0.0
61761,23,23.000162948626667,26.0,28.0,27.0,0,0.0,0.0,0.0
61761,23,23.000162948626667,28.0,30.0,29.0,0,0.0,0.0,0.0
65394,24,24.00017253384,0.0,2.0,1.0,0,0.0,0.0,0.0
65394,24,24.00017253384,2.0,4.0,3.0,0,0.0,0.0,0.0
65394,24,24.00017253384,4.0,6.0,5.0,0,0.0,0.0,0.0
65394,24,24.00017253384,6.0,8.0,7.0,1,0.05555555555555555,3.3586494897271006e-08,0.012679130817137563
65394,24,24.00017253384,8.0,10.0,9.0,1,0.05555555555555555,3.3586494897271006e-08,0.05978881297995715
65394,24,24.00017253384,10.0,12.0,11.0,3,0.16666666666666666,1.0075948469181301e-07,0.3788638962646037
65394,24,24.00017253384,12.0,14.0,13.0,0,0.0,0.0,0.0
65394,24,24.00017253384,14.0,16.0,15.0,2,0.1111111111111111,6.717298979454201e-08,1.8862966107836034
65394,24,24.00017253384,16.0,18.0,17.0,3,0.16666666666666666,1.0075948469181301e-07,4.874498303878007
65394,24,24.00017253384,18.0,20.0,19.0,5,0.2777777777777778,1.67932474486355e-07,14.76535097331145
65394,24,24.00017253384,20.0,22.0,21.0,3,0.16666666666666666,1.0075948469181301e-07,16.205772562712752
65394,24,24.00017253384,22.0,24.0,23.0,0,0.0,0.0,0.0
65394,24,24.00017253384,24.0,26.0,25.0,0,0.0,0.0,0.0
65394,24,24.00017253384,26.0,28.0,27.0,0,0.0,0.0,0.0
65394,24,24.00017253384,28.0,30.0,29.0,0,0.0,0.0,0.0
69027,25,25.000182119053335,0.0,2.0,1.0,0,0.0,0.0,0.0
69027,25,25.000182119053335,2.0,4.0,3.0,0,0.0,0.0,0.0
69027,25,25.000182119053335,4.0,6.0,5.0,1,0.058823529411764705,3.3586494897271006e-08,0.00162305063617028
69027,25,25.000182119053335,6.0,8.0,7.0,0,0.0,0.0,0.0
69027,25,25.000182119053335,8.0,10.0,9.0,3,0.17647058823529413,1.0075948469181301e-07,0.12383763958271975
69027,25,25.000182119053335,10.0,12.0,11.0,0,0.0,0.0,0.0
69027,25,25.000182119053335,12.0,14.0,13.0,0,0.0,0.0,0.0
69027,25,25.000182119053335,14.0,16.0,15.0,2,0.11764705882352941,6.717298979454201e-08,1.8094932265631545
69027,25,25.000182119053335,16.0,18.0,17.0,3,0.17647058823529413,1.0075948469181301e-07,5.1003093777193325
69027,25,25.000182119053335,18.0,20.0,19.0,5,0.29411764705882354,1.67932474486355e-07,16.03039837672844
69027,25,25.000182119053335,20.0,22.0,21.0,3,0.17647058823529413,1.0075948469181301e-07,18.14235394154231
69027,25,25.000182119053335,22.0,24.0,23.0,0,0.0,0.0,0.0
69027,25,25.000182119053335,24.0,26.0,25.0,0,0.0,0.0,0.0
69027,25,25.000182119053335,26.0,28.0,27.0,0,0.0,0.0,0.0
69027,25,25.000182119053335,28.0,30.0,29.0,0,0.0,0.0,0.0
72660,26,26.000191704266665,0.0,2.0,1.0,0,0.0,0.0,0.0
72660,26,26.000191704266665,2.0,4.0,3.0,0,0.0,0.0,0.0
72660,26,26.000191704266665,4.0,6.0,5.0,1,0.07142857142857142,3.3586494897271006e-08,0.003130627255157264
72660,26,26.000191704266665,6.0,8.0,7.0,0,0.0,0.0,0.0
72660,26,26.000191704266665,8.0,10.0,9.0,0,0.0,0.0,0.0
