CV48,CV6,J_abs,J_delta,J_relative,N48_equivalent,N6_equivalent,PF_coarsening_compatible,R48_nm,R48_over_R6,R6_nm,beta_inventory_h_volume_nm3,both_endpoints_within_5percent,classification,delta_kappa_W_mK,kappa48_W_mK,kappa6_W_mK,relative_change
0.0,0.0,0.3866273192250551,0.04156600691009424,0.05278426108457514,680.3637188805351,680363.7188805351,False,5.0,10.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.023877431095485013,1.3038816377468045,1.3277590688422896,-0.01798325589017021
0.0,0.0,0.38633456932950994,0.041797763333295025,0.05298086642470819,587.7237610457057,680363.7188805351,False,5.25,10.5,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.02444501298220758,1.303314055860082,1.3277590688422896,-0.01841072944319776
0.0,0.0,0.3860674288506212,0.04201023061787091,0.05316094975696804,511.1673319913862,680363.7188805351,False,5.5,11.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.02496397395120664,1.302795094891083,1.3277590688422896,-0.01880158421585735
0.0,0.0,0.3858229480027273,0.042205503968751806,0.053326327135472244,447.35018912174576,680363.7188805351,False,5.75,11.5,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.025439781855296495,1.302319286986993,1.3277590688422896,-0.019159938314319447
0.0,0.0,0.3855986029042224,0.04238539441270627,0.053478565008146746,393.72900398179115,680363.7188805351,False,6.0,12.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.02587713426387661,1.301881934578413,1.3277590688422896,-0.01948932970681165
0.0,0.0,0.3853922241170927,0.042551473143314075,0.05361901980400551,348.346224066834,680363.7188805351,False,6.25,12.5,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.02628008421394945,1.30147898462834,1.3277590688422896,-0.01979281093283271
0.0,0.0,0.3852019383218135,0.04270510846949562,0.05374887076254613,309.678524752178,680363.7188805351,False,6.5,13.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.026652143636342718,1.3011069252059468,1.3277590688422896,-0.020073026998476063
0.0,0.0,0.3850261206510486,0.04284749654844272,0.05386914713252111,276.528463701889,680363.7188805351,False,6.75,13.5,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.026996368442643748,1.3007627003996458,1.3277590688422896,-0.02033227945954279
0.0,0.0,0.3848633556290821,0.04297968695982308,0.05398075072816374,247.94596169115712,680363.7188805351,False,7.0,14.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.02731542865841674,1.3004436401838728,1.3277590688422896,-0.020572579242282132
0.0,0.0,0.3847124050501858,0.04310260402504933,0.054084474676501675,223.1706814975719,680363.7188805351,False,7.25,14.5,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.02761166639919188,1.3001474024430977,1.3277590688422896,-0.020795690307931596
0.0,0.0,0.3845721814572135,0.04321706462592829,0.054181019044839095,201.58925003867708,680363.7188805351,False,7.5,15.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.027887143965008798,1.2998719248772808,1.3277590688422896,-0.021003165875059234
0.0,0.0,0.384441726150559,0.04332379314394284,0.0542710039117659,182.7031570287765,680363.7188805351,False,7.75,15.5,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.028143683891543647,1.299615384950746,1.3277590688422896,-0.021196378584017444
0.0,0.0,0.3843201908737627,0.043423434028241926,0.05435498033971522,166.10442355481814,680363.7188805351,False,8.0,16.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.0283829024374167,1.2993761664048729,1.3277590688422896,-0.021376545717864726
0.0,0.0,0.38410095013247525,0.04360369307622563,0.05450682109619541,138.48233642998883,680363.7188805351,False,8.5,17.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.02881497330465943,1.2989440955376301,1.3277590688422896,-0.02170195932443076
0.0,0.0,0.38390935772703205,0.043761763586430545,0.05463988710202782,116.66044562423441,680363.7188805351,False,9.0,18.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.029193125093609495,1.29856594374868,1.3277590688422896,-0.021986763847950067
0.0,0.0,0.3837413183501099,0.043900821329649085,0.05475688312223998,99.19284427475363,680363.7188805351,False,9.5,19.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.02952522838467231,1.2982338404576172,1.3277590688422896,-0.022236887005724754
0.0,0.0,0.3835935074305469,0.04402346455126583,0.05486001873853692,85.04546486006689,680363.7188805351,False,10.0,20.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.029817693608679807,1.2979413752336098,1.3277590688422896,-0.022457156805322138
0.0,0.0,0.3834631984460983,0.04413183912256315,0.054951116378989424,73.46547013071321,680363.7188805351,False,10.5,21.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.030075793756832336,1.2976832750854572,1.3277590688422896,-0.022651544593143894
