replicate,step,age_h,temperature_K,matrix_mode,registered_kappa_W_mK,hourly_recomputed_kappa_W_mK,relative_difference
C,0,6,550,pf_time_varying_matrix,1.347454244258552,1.3474542442585524,3.2957646743279691e-16
C,0,6,600,fixed_6h_matrix,1.245192097822118,1.2451920978221178,1.783215660566708e-16
C,0,6,600,pf_time_varying_matrix,1.245192097822118,1.2451920978221178,1.783215660566708e-16
C,21798,12,300,fixed_6h_matrix,2.2837380321203948,2.2837380321203953,1.9445715909794463e-16
C,21798,12,300,pf_time_varying_matrix,2.2585445183455901,2.2585445183455897,1.9662628132535686e-16
C,21798,12,350,fixed_6h_matrix,2.004706774672822,2.004706774672822,0
C,21798,12,350,pf_time_varying_matrix,1.9850731319449999,1.9850731319449999,0
C,21798,12,400,fixed_6h_matrix,1.7863725463385789,1.7863725463385787,1.2429915886254683e-16
C,21798,12,400,pf_time_varying_matrix,1.7706416783059371,1.7706416783059371,0
C,21798,12,450,fixed_6h_matrix,1.610915268333754,1.6109152683337542,1.3783754446297015e-16
C,21798,12,450,pf_time_varying_matrix,1.598028695257852,1.598028695257852,0
C,21798,12,500,fixed_6h_matrix,1.4668500879461941,1.4668500879461936,3.0275023569167373e-16
C,21798,12,500,pf_time_varying_matrix,1.456100255227651,1.4561002552276505,3.0498532519014797e-16
C,21798,12,550,fixed_6h_matrix,1.346450396788579,1.346450396788579,0
C,21798,12,550,pf_time_varying_matrix,1.3373464437659759,1.3373464437659759,0
C,21798,12,600,fixed_6h_matrix,1.2443299713020901,1.2443299713020901,0
C,21798,12,600,pf_time_varying_matrix,1.2365206964693241,1.2365206964693245,3.5914417859570353e-16
C,43596,18,300,fixed_6h_matrix,2.2830551961126941,2.2830551961126937,1.9451531903661512e-16
C,43596,18,300,pf_time_varying_matrix,2.2627902589741939,2.2627902589741939,0
C,43596,18,350,fixed_6h_matrix,2.0040445441633499,2.0040445441633503,2.2159647655709237e-16
C,43596,18,350,pf_time_varying_matrix,1.9882660469746329,1.9882660469746329,0
C,43596,18,400,fixed_6h_matrix,1.785762717881541,1.7857627178815414,2.4868321272654176e-16
C,43596,18,400,pf_time_varying_matrix,1.773129541568591,1.7731295415685913,1.2522751424501142e-16
C,43596,18,450,fixed_6h_matrix,1.610364701056185,1.6103647010561846,2.7576933942901204e-16
C,43596,18,450,pf_time_varying_matrix,1.6000215480116069,1.6000215480116069,0
C,43596,18,500,fixed_6h_matrix,1.4663565010431829,1.4663565010431827,1.5142607187751833e-16
C,43596,18,500,pf_time_varying_matrix,1.4577323410929739,1.4577323410929741,1.5232193089613928e-16
C,43596,18,550,fixed_6h_matrix,1.34600845193884,1.3460084519388396,3.2993047644714283e-16
C,43596,18,550,pf_time_varying_matrix,1.3387075308164551,1.3387075308164549,1.6586491060494001e-16
C,43596,18,600,fixed_6h_matrix,1.2439336757456361,1.2439336757456361,0
C,43596,18,600,pf_time_varying_matrix,1.237673070867499,1.2376730708674986,3.5880978612453408e-16
C,65393,24,300,fixed_6h_matrix,2.2827245952869681,2.2827245952869681,0
C,65393,24,300,pf_time_varying_matrix,2.2719663860100909,2.2719663860100914,1.9546469198866492e-16
C,65393,24,350,fixed_6h_matrix,2.003620605577765,2.0036206055777654,2.2164336332626447e-16
C,65393,24,350,pf_time_varying_matrix,1.99525376062782,1.9952537606278196,2.2257279681073098e-16
C,65393,24,400,fixed_6h_matrix,1.7853204372353031,1.7853204372353031,0
C,65393,24,400,pf_time_varying_matrix,1.7786275194316079,1.7786275194316077,1.248404190867291e-16
C,65393,24,450,fixed_6h_matrix,1.6099356252408199,1.6099356252408201,1.3792141837461176e-16
C,65393,24,450,pf_time_varying_matrix,1.6044599513916491,1.6044599513916487,2.7678422852803279e-16
C,65393,24,500,fixed_6h_matrix,1.4659532487221389,1.4659532487221394,3.029354518891868e-16
C,65393,24,500,pf_time_varying_matrix,1.4613903772507211,1.4613903772507211,0
C,65393,24,550,fixed_6h_matrix,1.3456350857616051,1.3456350857616051,0
C,65393,24,550,pf_time_varying_matrix,1.3417742819461751,1.3417742819461749,1.6548581077509323e-16
C,65393,24,600,fixed_6h_matrix,1.2435903580438941,1.2435903580438943,1.7855124357372507e-16
C,65393,24,600,pf_time_varying_matrix,1.2402811235461551,1.2402811235461553,1.790276419673078e-16
C,108989,36,300,fixed_6h_matrix,2.284925176669681,2.284925176669681,0
C,108989,36,300,pf_time_varying_matrix,2.280076122970069,2.2800761229700686,1.9476946641219323e-16
C,108989,36,350,fixed_6h_matrix,2.0049591241638911,2.0049591241638911,0
C,108989,36,350,pf_time_varying_matrix,2.0011917418329199,2.0011917418329199,0
C,108989,36,400,fixed_6h_matrix,1.7861564849161311,1.7861564849161309,1.243141946409345e-16
C,108989,36,400,pf_time_varying_matrix,1.783145196064043,1.783145196064043,0
C,108989,36,450,fixed_6h_matrix,1.61046436689401,1.61046436689401,0
C,108989,36,450,pf_time_varying_matrix,1.6080022903951829,1.6080022903951832,1.3808724418574154e-16
C,108989,36,500,fixed_6h_matrix,1.4662869467441599,1.4662869467441597,1.5143325487420711e-16
C,108989,36,500,pf_time_varying_matrix,1.4642363578287541,1.4642363578287538,1.5164532948375262e-16
C,108989,36,550,fixed_6h_matrix,1.345841376199542,1.345841376199542,0
C,108989,36,550,pf_time_varying_matrix,1.344107047270815,1.3441070472708148,1.6519860183449589e-16
C,108989,36,600,fixed_6h_matrix,1.2437115519806921,1.2437115519806921,0
C,108989,36,600,pf_time_varying_matrix,1.2422255373885711,1.2422255373885709,1.7874741602222851e-16
C,152585,48,300,fixed_6h_matrix,2.2863157238172489,2.2863157238172493,1.9423791964681418e-16
C,152585,48,300,pf_time_varying_matrix,2.2858679800442951,2.2858679800442951,0
C,152585,48,350,fixed_6h_matrix,2.0058367878312122,2.0058367878312118,2.2139847695695566e-16
C,152585,48,350,pf_time_varying_matrix,2.005489125676807,2.0054891256768066,2.2143685755473374e-16
C,152585,48,400,fixed_6h_matrix,1.7867288312750771,1.7867288312750773,1.242743728305833e-16
C,152585,48,400,pf_time_varying_matrix,1.7864510706408989,1.7864510706408989,0
C,152585,48,450,fixed_6h_matrix,1.610845952703793,1.6108459527037926,2.756869513839372e-16
C,152585,48,450,pf_time_varying_matrix,1.610618935236396,1.610618935236396,0
C,152585,48,500,fixed_6h_matrix,1.466544740224953,1.4665447402249527,1.514066354981928e-16
C,152585,48,500,pf_time_varying_matrix,1.4663557217706069,1.4663557217706071,1.5142615235061457e-16
C,152585,48,550,fixed_6h_matrix,1.3460163699240979,1.3460163699240977,1.6496426781016967e-16
C,152585,48,550,pf_time_varying_matrix,1.3458565443162629,1.3458565443162633,3.2996771589476783e-16
C,152585,48,600,fixed_6h_matrix,1.2438297998043,1.2438297998043004,3.570337436198539e-16
C,152585,48,600,pf_time_varying_matrix,1.2436928870734749,1.2436928870734749,0
