parameter_set,mode,status,gamma_g_J_m2,xB_g,xeq_g_infinity,site_density_g_m3,attachment_prefactor_s_inv,D_scale_g,elastic_penalty_J_m3,N_g_6h_m3,N_g_48h_m3,matrix_Ag_6h,peak_time_h,peak_N_g_m3,failure_reason,config_sha256
51,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.0015534734445889736,0.03454733816585834,0.004742874245934474,1.405684561646131e+26,9.074018193646224e-05,0.004621605029923747,7620430.139821363,5.369825348635264e+23,3.1765237286103694e+23,0.005048883359783478,2.0,7.625308848782664e+23,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
52,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.01950686332387482,0.029711713756108017,0.005615077429545226,7.516829460497223e+28,0.2652750359463621,0.0034788258101364836,7317991.168617719,2.6073887151926393e+23,4.986772853566336e+22,0.0064417974208557695,0.5,1.302205460427702e+24,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
53,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.010439592970322119,0.0283829863902689,0.0053396921650468885,4.195524703660693e+26,3.780425838436184e-05,0.003606167954643436,1112799.8288148483,2.360168842783455e+23,1.138199668730962e+23,0.005566393177177656,2.0,2.5950944685836566e+23,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
54,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.0018439003459979953,0.060914744840132574,0.004952955376827199,1.3173975456173182e+28,5.858352089132836e-05,0.02700868632479078,1622241.1213243564,1.239247489460122e+24,4.8732271133392415e+23,0.005056345577048946,0.5,7.730965685934173e+24,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
55,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.002012486075797176,0.11156264664338526,0.006687552476072516,1.825053245125231e+29,0.02369996087197,0.002780697921436326,8006691.609677883,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-1.557950e+02,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
56,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.018255740609428122,0.049990630512149276,0.004615545617090692,1.4965312442165658e+29,7.804501389292144e-05,0.0016308881086115764,8706094.539460061,1.425334600415258e+24,2.1532781064418753e+23,0.005729917046218529,0.5,5.31022654197562e+24,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
57,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.009046854036940352,0.041875384731801156,0.005873615291114136,2.1203504162346438e+28,0.20462249808604696,0.017150660148708072,9138748.37378221,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-3.233764e+01,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
58,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.004848611591372576,0.10979634249321958,0.005429633184793343,7.772835187378517e+28,2.852056048735637e-05,0.00228593131932095,8477123.186879726,nan,nan,nan,nan,nan,InventoryError: Inventory closure would require an unphysical matrix composition xB_alpha=-6.90704579548910265e-04; no clamping was applied,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
59,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.0023525480149759184,0.06296914458627959,0.00508470608239552,7.706883555469318e+27,0.0010404916839690044,0.0021476917168356292,3774989.6107258513,nan,nan,nan,nan,nan,InventoryError: Inventory closure would require an unphysical matrix composition xB_alpha=-1.76132900609678976e-02; no clamping was applied,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
60,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.012410618883527054,0.11663239875769159,0.006564672153134795,1.1817058150162058e+29,4.597797781760837,0.014006302892052003,5930354.675866684,nan,nan,nan,nan,nan,InventoryError: Inventory closure would require an unphysical matrix composition xB_alpha=-1.02716740278046476e-01; no clamping was applied,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
61,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.0020490361127044805,0.0723080769125019,0.004754650471903193,1.3716534213180898e+29,0.02799420797076812,0.0014131845493884725,2553113.3268531486,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-1.508798e+02,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
62,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.0064170685802583845,0.049138832810172804,0.0067038720194960814,5.1553115388786985e+28,0.15785508736030365,0.002492203186103694,552445.529578329,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-9.392202e+01,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
63,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.013674794648742238,0.04289327257326737,0.006823630944139505,8.066877128853483e+27,0.001487251561979795,0.005879524037968382,1328977.2612205797,4.383788747120461e+19,2.6651902300115966e+20,0.007799916866862014,48.0,2.6651902300115966e+20,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
64,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.004074636899026192,0.07603475371115641,0.006398124819018369,6.37254843777793e+26,0.011624483620117433,0.0015119060361414754,8409432.319707545,nan,nan,nan,nan,nan,InventoryError: Inventory closure would require an unphysical matrix composition xB_alpha=-9.48486016668421972e-03; no clamping was applied,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
