T_K,omega_rad_s,frequency_THz,phonon_phonon_rate_s-1,boundary_rate_s-1,point_defect_rate_s-1,small_precipitate_rate_s-1,big_precipitate_rate_s-1,total_rate_s-1,dkappa_dx_W_mK
300.0,13235312035367.37,2.106465333792371,446669896344.53564,170192307.69230768,108322387604.3791,128677325854.41614,19016718644.121082,702856520755.1443,3.831814546253733
300.0,13330237901480.46,2.1215732546115493,453100055072.8741,170192307.69230768,111463605300.20079,130944296330.07251,19016735505.33764,714694884516.1774,3.8220720275559477
300.0,13424499576060.928,2.13657546606515,459530694505.73267,170192307.69230768,114649959956.04173,133193175936.55489,19016751664.91711,726560774370.9387,3.8124920841097105
300.0,13518082918935.604,2.1514697176747184,465959881985.50616,170192307.69230768,117880483776.20949,135422851036.8281,19016767156.678135,738450176262.9142,3.8030730045466266
300.0,13610973891687.719,2.1662537751568323,472385671866.9874,170192307.69230768,121154148338.71924,137632263034.7214,19016782012.556328,750359057560.6766,3.793812959754622
300.0,13703158559762.777,2.1809254207582636,478806106397.9703,170192307.69230768,124469864651.15419,139820408566.17654,19016796262.72075,762283368185.7141,3.7847100212902505
300.0,13794623094558.916,2.1954824535886694,485219216609.2435,170192307.69230768,127826483290.3684,141986339476.30078,19016809935.682446,774219041619.2874,3.775762178709016
300.0,13885353775501.29,2.209922689950742,491623023213.4742,170192307.69230768,131222794627.00104,144129162594.91556,19016823058.39563,786161995801.4786,3.766967355821124
300.0,13975336992100.32,2.2242439636677864,498015537512.4934,170192307.69230768,134657529135.64847,146248039323.7709,19016835656.352077,798108133935.9573,3.758323425884682
300.0,14064559245993.393,2.2384441264086687,504394762312.476,170192307.69230768,138129357791.39346,148342185048.9196,19016847753.669224,810053345214.1506,3.749828225752771
300.0,14153007152969.738,2.2525210480100863,510758692846.50867,170192307.69230768,141636892553.25824,150410868391.9331,19016859373.17242,821993505472.5647,3.7414795689946145
300.0,14240667444978.191,2.266472616796111,517105317704.0338,170192307.69230768,145178686935.00223,152453410313.69925,19016870536.471733,833924477796.8994,3.7332752580147037
300.0,14327526972117.555,2.280296739894965,523432619766.656,170192307.69230768,148753236663.5447,154469183084.4799,19016881264.03375,845842113086.4067,3.7252130951966516
300.0,14413572704609.18,2.29399134355297,529738577149.7818,170192307.69230768,152358980425.14047,156457609133.73788,19016891575.248642,857742250591.6011,3.7172908931014166
300.0,14498791734751.578,2.30755437344563,536021164149.5783,170192307.69230768,155994300699.2967,158418159792.9839,19016901488.492973,869620718438.0442,3.7095064837516905
300.0,14583171278856.709,2.320983794985802,542278352194.7152,170192307.69230768,159657524680.26382,160350353944.54004,19016911021.188362,881473334148.3998,3.7018577270363053
300.0,14666698679167.637,2.3342775936289017,548508110802.36145,170192307.69230768,163346925285.7848,162253756588.70422,19016920189.85645,893295905174.3993,3.694342518270011
300.0,14749361405757.344,2.3474337751751078,554708408537.9017,170192307.69230768,167060722252.6387,164127977341.3128,19016929010.170357,905084229449.7158,3.6869587949452516
300.0,14831147058408.318,2.360450366068507,560877213977.8354,170192307.69230768,170797083318.35794,165972668873.16977,19016937497.002872,916834095974.0582,3.6797045427135284
300.0,14912043368472.727,2.373325413693152,567012496675.3201,170192307.69230768,174554125488.35168,167787525302.2386,19016945664.471607,928541285438.0742,3.672577800634492
300.0,14992038200712.812,2.386056986665969,573112228127.8145,170192307.69230768,178329916387.5122,169572280548.8854,19016953525.981346,940201570897.8857,3.6655766657313635
300.0,15071119555121.326,2.3986431751264856,579174382746.2847,170192307.69230768,182122475695.23325,171326706663.8415,19016961094.26371,951810718507.3154,3.658699296891299
