family,region,u_nm,phi_mean,phi_std,xB_mean,xB_std,sample_count
-1-1-1,face,-3.192975,9.9997613921e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.142975,9.9997181192e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.092975,9.9996669989e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.042975,9.9996066081e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.992975,9.9995352657e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.942975,9.9994509859e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.892975,9.9993514230e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.842975,9.9992338058e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.792975,9.9990948611e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.742975,9.9989307222e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.692975,9.9987368221e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.642975,9.9985077658e-01,0.0,1.2000000001e-02,0.0,1
-1-1-1,face,-2.592975,9.9982371813e-01,0.0,1.2000000001e-02,0.0,1
-1-1-1,face,-2.542975,9.9979175423e-01,0.0,1.2000000002e-02,0.0,1
-1-1-1,face,-2.492975,9.9975399598e-01,0.0,1.2000000003e-02,0.0,1
-1-1-1,face,-2.442975,9.9970939356e-01,0.0,1.2000000004e-02,0.0,1
-1-1-1,face,-2.392975,9.9965670715e-01,0.0,1.2000000007e-02,0.0,1
-1-1-1,face,-2.342975,9.9959447267e-01,0.0,1.2000000012e-02,0.0,1
-1-1-1,face,-2.292975,9.9952096129e-01,0.0,1.2000000020e-02,0.0,1
-1-1-1,face,-2.242975,9.9943413180e-01,0.0,1.2000000033e-02,0.0,1
-1-1-1,face,-2.192975,9.9933157430e-01,0.0,1.2000000054e-02,0.0,1
-1-1-1,face,-2.142975,9.9921044406e-01,0.0,1.2000000088e-02,0.0,1
-1-1-1,face,-2.092975,9.9906738341e-01,0.0,1.2000000146e-02,0.0,1
-1-1-1,face,-2.042975,9.9889843000e-01,0.0,1.2000000240e-02,0.0,1
-1-1-1,face,-1.992975,9.9869890874e-01,0.0,1.2000000396e-02,0.0,1
-1-1-1,face,-1.942975,9.9846330490e-01,0.0,1.2000000652e-02,0.0,1
-1-1-1,face,-1.892975,9.9818511505e-01,0.0,1.2000001073e-02,0.0,1
-1-1-1,face,-1.842975,9.9785667224e-01,0.0,1.2000001767e-02,0.0,1
-1-1-1,face,-1.792975,9.9746894129e-01,0.0,1.2000002908e-02,0.0,1
