step,time_code,dt,max_abs_dgbulk_idx,max_abs_dgbulk_i,max_abs_dgbulk_j,max_abs_dgbulk_k,max_abs_dgbulk_value,eta_before,phi_before,xB_before,Y_before,h_eta,hp_eta,eta_rhs_bulk,eta_rhs_double_well,eta_rhs_total,dxB,deta,phi_rhs_chem_at_loc,phi_rhs_total_at_loc,phi_rhs_dw_at_loc,region_class,is_eta_interface,is_far_field_like,is_phi_nonzero,eta_peak_idx,eta_peak_i,eta_peak_j,eta_peak_k,eta_peak_value
44,4.4000000000e-03,1.0000000000e-04,372720,40,42,48,-2.8790457694e+03,4.8551805520e-01,4.9626880647e-01,3.2567253608e-02,-3.3913386167e+00,4.7286153594e-01,1.8718554187e+00,-2.8790457694e+03,2.8386956195e-02,-2.8790173825e+03,-2.2085262719e-04,1.3515585524e-04,-1.2165895433e+00,-1.2128585576e+00,3.7309857478e-03,interface,1,0,1,437711,47,47,47,9.9990112552e-01
45,4.5000000000e-03,1.0000000000e-04,372720,40,42,48,-2.8722704510e+03,4.8565321106e-01,4.9620075708e-01,3.2346400981e-02,-3.3983714088e+00,4.7311453211e-01,1.8719138157e+00,-2.8722704510e+03,2.8122467503e-02,-2.8722423285e+03,-2.2476139424e-04,1.3483975391e-04,-1.2132676793e+00,-1.2094686557e+00,3.7990235681e-03,interface,1,0,1,437711,47,47,47,9.9989774905e-01
46,4.6000000000e-03,1.0000000000e-04,446456,48,42,56,-2.8652791564e+03,4.8578805081e-01,4.9613200299e-01,3.2121639586e-02,-3.4055764852e+00,4.7336694440e-01,1.8719715314e+00,-2.8652791564e+03,2.7858585098e-02,-2.8652512979e+03,-2.2641175275e-04,1.3451438035e-04,-1.2098520284e+00,-1.2059842629e+00,3.8677655283e-03,interface,1,0,1,437711,47,47,47,9.9989438034e-01
47,4.7000000000e-03,1.0000000000e-04,446456,48,42,56,-2.8581459646e+03,4.8592256519e-01,4.9606252648e-01,3.1895227834e-02,-3.4128839162e+00,4.7361875534e-01,1.8720285656e+00,-2.8581459646e+03,2.7595327330e-02,-2.8581183693e+03,-2.2613755591e-04,1.3418183078e-04,-1.2063750489e+00,-1.2024378195e+00,3.9372293378e-03,interface,1,0,1,437711,47,47,47,9.9989101910e-01
48,4.8000000000e-03,1.0000000000e-04,520758,56,48,54,-2.8509363866e+03,4.8605674702e-01,4.9599231713e-01,3.1669090278e-02,-3.4202327427e+00,4.7386995134e-01,1.8720849194e+00,-2.8509363866e+03,2.7332708445e-02,-2.8509090539e+03,-2.2424491961e-04,1.3384486766e-04,-1.2028653986e+00,-1.1988579732e+00,4.0074253900e-03,interface,1,0,1,437711,47,47,47,9.9988766503e-01
49,4.9000000000e-03,1.0000000000e-04,373302,40,48,54,-2.8437078545e+03,4.8619059189e-01,4.9592137100e-01,3.1444845358e-02,-3.4275703596e+00,4.7412052403e-01,1.8721405947e+00,-2.8437078545e+03,2.7070737284e-02,-2.8436807838e+03,-2.2101072150e-04,1.3350718712e-04,-1.1993481580e+00,-1.1952698004e+00,4.0783576085e-03,interface,1,0,1,437711,47,47,47,9.9988431772e-01
50,5.0000000000e-03,1.0000000000e-04,502328,54,48,56,-2.8365102553e+03,4.8632409908e-01,4.9584968980e-01,3.1223834637e-02,-3.4348518559e+00,4.7437047194e-01,1.8721955954e+00,-2.8365102553e+03,2.6809415452e-02,-2.8364834458e+03,-2.1668214929e-04,1.3317085534e-04,-1.1958450710e+00,-1.1916950467e+00,4.1500242446e-03,interface,1,0,1,437711,47,47,47,9.9988097692e-01
51,5.1000000000e-03,1.0000000000e-04,502328,54,48,56,-2.8293864972e+03,4.8645726993e-01,4.9577728019e-01,3.1007152487e-02,-3.4420393273e+00,4.7461979745e-01,1.8722499261e+00,-2.8293864972e+03,2.6548740510e-02,-2.8293599484e+03,-2.1147703818e-04,1.3283748325e-04,-1.1923748020e+00,-1.1881523834e+00,4.2224186227e-03,interface,1,0,1,437711,47,47,47,9.9987764243e-01
52,5.2000000000e-03,1.0000000000e-04,520758,56,48,54,-2.8223731054e+03,4.8659010742e-01,4.9570415307e-01,3.0795675449e-02,-3.4491011783e+00,4.7486850599e-01,1.8723035918e+00,-2.8223731054e+03,2.6288706860e-02,-2.8223468167e+03,-2.0558479108e-04,1.3250838506e-04,-1.1889532044e+00,-1.1846576745e+00,4.2955298274e-03,interface,1,0,1,437711,47,47,47,9.9987431400e-01
53,5.3000000000e-03,1.0000000000e-04,520176,56,42,48,-2.8155008365e+03,4.8672261580e-01,4.9563032293e-01,3.0590090658e-02,-3.4560114237e+00,4.7511660543e-01,1.8723565984e+00,-2.8155008365e+03,2.6029306330e-02,-2.8154748071e+03,-1.9916772506e-04,1.3218635696e-04,-1.1855935955e+00,-1.1812242522e+00,4.3693433324e-03,interface,1,0,1,437711,47,47,47,9.9987099128e-01
