points_per_cell,radius_probe_m,probe_kind,number_cdf_eulerian,number_cdf_cohort,number_cdf_absolute_error,M3_cdf_eulerian,M3_cdf_cohort,M3_cdf_absolute_error
4,1.9602011582767442e-08,independent_subcell_probe,0.9999999547066756,0.9999999544829622,2.2371338115334538e-10,0.9999995774545392,0.9999995755212495,1.933289639488578e-09
4,1.9610215841936265e-08,independent_subcell_probe,0.9999999554418841,0.9999999554418877,3.552713678800501e-15,0.9999995838118912,0.9999995838112087,6.825651155395462e-13
4,1.9618420101105087e-08,independent_subcell_probe,0.9999999561770927,0.9999999564008131,2.2372037555840052e-10,0.9999995901772275,0.9999995921153296,1.9381021232334206e-09
4,1.9626624360273907e-08,canonical_cell_edge,0.9999999569123013,0.9999999569123048,3.552713678800501e-15,0.9999995965505545,0.9999995965505512,3.3306690738754696e-15
4,1.9634842360492113e-08,independent_subcell_probe,0.9999999576019348,0.9999999573920897,2.098451412635427e-10,0.999999602536312,0.9999996007137381,1.8225739806254637e-09
4,1.9643060360710316e-08,independent_subcell_probe,0.9999999582915685,0.9999999582915722,3.6637359812630166e-15,0.9999996085295901,0.9999996085289465,6.435962873752032e-13
4,1.9651278360928522e-08,independent_subcell_probe,0.9999999589812021,0.9999999591910547,2.098525797578077e-10,0.9999996145303952,0.9999996163575056,1.8271103519040821e-09
4,1.9659496361146728e-08,canonical_cell_edge,0.9999999596708357,0.9999999596708394,3.774758283725532e-15,0.9999996205387334,0.99999962053873,3.3306690738754696e-15
4,1.966772812542876e-08,independent_subcell_probe,0.9999999603176272,0.9999999601208185,1.968086804637892e-10,0.9999996261808921,0.9999996244629387,1.7179534461675416e-09
4,1.9675959889710785e-08,independent_subcell_probe,0.9999999609644185,0.9999999609644222,3.774758283725532e-15,0.9999996318301397,0.9999996318295327,6.070699498650356e-13
4,1.9684191653992813e-08,independent_subcell_probe,0.99999996161121,0.9999999618080261,1.9681611895805418e-10,0.9999996374864821,0.999999639208711,1.7222289150353731e-09
4,1.9692423418274843e-08,canonical_cell_edge,0.9999999622580014,0.9999999622580051,3.774758283725532e-15,0.9999996431499252,0.9999996431499218,3.3306690738754696e-15
4,1.9700668969673682e-08,independent_subcell_probe,0.9999999628645255,0.9999999626799698,1.8455570405251365e-10,0.999999648467448,0.9999996468483412,1.6191068485937876e-09
4,1.9708914521072524e-08,independent_subcell_probe,0.9999999634710494,0.9999999634710532,3.885780586188048e-15,0.9999996537916518,0.9999996537910797,5.720979245893432e-13
4,1.9717160072471367e-08,independent_subcell_probe,0.9999999640775734,0.9999999642621367,1.845632535690811e-10,0.9999996591225422,0.9999996607456785,1.6231362920393622e-09
4,1.9725405623870206e-08,canonical_cell_edge,0.9999999646840974,0.9999999646841014,3.9968028886505635e-15,0.9999996644601249,0.9999996644601217,3.219646771412954e-15
