probe_path,matrix_xB,radius_m,xeq_alpha_beta,chemical_driving_force_xB,gibbs_thomson_embedded_in_xeq,elastic_correction_included,elastic_penalty_j_m3,growth_rate_eulerian_m_s,growth_rate_cohort_m_s,growth_sign,critical_radius_m,molar_inventory_per_particle_mol,relative_difference
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.044957763784054e-09,0.006373176629892879,-0.00015259807258056948,True,True,0.0,-1.5411705248601542e-13,-1.5411705248601542e-13,DISSOLUTION,8.714603508943103e-09,5.3183967853602514e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.048468441263712e-09,0.006372299929215632,-0.00015172137190332287,True,True,0.0,-1.5316465147430213e-13,-1.5316465147430213e-13,DISSOLUTION,8.714603508943103e-09,5.3253623874158186e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.053048894984475e-09,0.006371157409952748,-0.00015057885264043846,True,True,0.0,-1.5192462734845e-13,-1.5192462734845e-13,DISSOLUTION,8.714603508943103e-09,5.3344596936181943e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.056559572464133e-09,0.0063702827467875004,-0.00014970418947519125,True,True,0.0,-1.5097619691043826e-13,-1.5097619691043826e-13,DISSOLUTION,8.714603508943103e-09,5.341439310821032e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.058432004375738e-09,0.006369816602866615,-0.00014923804555430544,True,True,0.0,-1.5047105054214375e-13,-1.5047105054214375e-13,DISSOLUTION,8.714603508943103e-09,5.3451644018958674e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.06194856177601e-09,0.006368941829427189,-0.00014836327211487955,True,True,0.0,-1.4952366853968357e-13,-1.4952366853968357e-13,DISSOLUTION,8.714603508943103e-09,5.35216506199097e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.06653668715115e-09,0.006367801821445084,-0.00014722326413277483,True,True,0.0,-1.4829018072183692e-13,-1.4829018072183692e-13,DISSOLUTION,8.714603508943103e-09,5.361308155150158e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.070053244551423e-09,0.006366929080576408,-0.00014635052326409867,True,True,0.0,-1.4734675076966426e-13,-1.4734675076966426e-13,DISSOLUTION,8.714603508943103e-09,5.368322900931096e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.071928812538916e-09,0.0063664639610444655,-0.00014588540373215633,True,True,0.0,-1.4684426815120338e-13,-1.4684426815120338e-13,DISSOLUTION,8.714603508943103e-09,5.372066740477224e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.075451259707893e-09,0.006365591109836756,-0.00014501255252444712,True,True,0.0,-1.4590188270660833e-13,-1.4590188270660833e-13,DISSOLUTION,8.714603508943103e-09,5.3791026350598023e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.080047069586417e-09,0.0063644536066132925,-0.00014387504930098334,True,True,0.0,-1.4467490195769665e-13,-1.4467490195769665e-13,DISSOLUTION,8.714603508943103e-09,5.3882917456226356e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.083569516755394e-09,0.0063635827830495215,-0.0001430042257372123,True,True,0.0,-1.4373645012222853e-13,-1.4373645012222853e-13,DISSOLUTION,8.714603508943103e-09,5.395341796784638e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.08544822607129e-09,0.006363118685246753,-0.00014254012793444345,True,True,0.0,-1.4323661933749225e-13,-1.4323661933749225e-13,DISSOLUTION,8.714603508943103e-09,5.39910447916356e-20,0.0
